1	0
2	0
3	0
4	0
5	0
6	7
7	7
8	8
9	9
10	10
11	11
12	105
13	105
14	8
15	107
16	108
17	120
18	120
19	122
20	37
21	82
22	82
23	82
24	40
25	89
26	41
27	144
28	145
29	146
30	146
31	120
32	95
33	82
34	83
35	107
36	101
37	102
38	120
39	145
40	144
41	20
42	120
43	131
44	95
45	120
46	107
47	79
48	131
49	131
50	8
51	82
52	131
53	131
54	8
55	82
56	8
57	98
58	131
59	8
60	131
61	7
62	105
63	105
64	8
65	131
66	82
67	8
68	8
69	131
70	82
71	82
72	82
73	82
74	45
75	8
76	131
77	131
78	105
79	105
80	8
81	107
82	108
83	131
84	120
85	66
86	8
87	8
88	8
89	9
90	82
91	82
92	131
93	8
94	8
95	131
96	131
97	79
98	97
99	37
100	82
101	82
102	9
103	10
104	8
105	31
106	32
107	33
108	120
109	8
110	8
111	9
112	9
113	8
114	8
115	76
116	9
117	10
118	79
119	12
120	81
121	56
122	57
123	79
124	34
125	104
126	30
127	31
128	32
129	7
130	33
131	34
132	34
133	10
134	51
135	52
136	53
137	47
138	31
139	56
140	62
141	34
142	8
143	44
144	97
145	8
146	98
147	79
148	56
149	38
150	82
151	82
152	24
153	72
154	26
155	27
156	30
157	75
158	76
159	76
160	77
161	34
162	99
163	113
164	82
165	131
166	105
167	8
168	106
169	48
170	7
171	82
172	31
173	31
174	30
175	24
176	103
177	104
178	18
179	20
180	131
181	120
182	120
183	79
184	8
185	82
186	131
187	131
188	8
189	68
190	8
191	131
192	8
193	131
194	131
195	9
196	82
197	12
198	105
199	0
200	0
201	0
202	0
203	0
