1	NaN
2	NaN
3	NaN
4	NaN
5	NaN
6	598
7	599
8	599
9	600
10	601
11	272
12	273
13	220
14	255
15	249
16	257
17	468
18	NaN
19	NaN
20	195
21	NaN
22	197
23	NaN
24	NaN
25	609
26	610
27	608
28	611
29	611
30	612
31	118
32	119
33	158
34	220
35	222
36	367
37	223
38	243
39	225
40	95
41	197
42	NaN
43	110
44	557
45	NaN
46	NaN
47	NaN
48	NaN
49	NaN
50	NaN
51	388
52	128
53	129
54	100
55	163
56	467
57	405
58	468
59	NaN
60	409
61	NaN
62	256
63	257
64	257
65	258
66	259
67	260
68	261
69	263
70	264
71	265
72	267
73	268
74	269
75	270
76	167
77	71
78	NaN
79	488
80	489
81	490
82	492
83	69
84	494
85	495
86	71
87	NaN
88	NaN
89	NaN
90	343
91	NaN
92	69
93	494
94	494
95	71
96	72
97	342
98	342
99	440
100	NaN
101	282
102	283
103	407
104	467
105	467
106	468
107	NaN
108	69
109	NaN
110	546
111	NaN
112	NaN
113	NaN
114	479
115	480
116	62
117	483
118	484
119	485
120	488
121	489
122	490
123	343
124	343
125	344
126	345
127	346
128	346
129	71
130	348
131	349
132	67
133	490
134	69
135	69
136	367
137	71
138	610
139	611
140	NaN
141	386
142	387
143	195
144	196
145	NaN
146	390
147	230
148	NaN
149	NaN
150	NaN
151	367
152	NaN
153	145
154	389
155	147
156	590
157	NaN
158	NaN
159	577
160	577
161	222
162	136
163	NaN
164	92
165	94
166	196
167	140
168	NaN
169	342
170	343
171	99
172	386
173	NaN
174	388
175	NaN
176	108
177	611
178	196
179	611
180	138
181	NaN
182	94
183	NaN
184	577
185	578
186	609
187	NaN
188	198
189	136
190	NaN
191	391
192	49
193	342
194	NaN
195	NaN
196	542
197	69
198	388
199	NaN
200	NaN
201	NaN
202	NaN
203	NaN
