1	0	0	0	0	0
2	0	0	0	0	0
3	0	0	0	0	0
4	0	0	0	0	0
5	0	0	0	0	0
6	259	52	52	598	53
7	259	572	572	599	471
8	262	109	572	599	393
9	117	167	167	600	394
10	263	167	167	601	235
11	142	169	168	272	235
12	221	169	169	273	236
13	221	170	170	220	602
14	221	570	570	255	508
15	191	171	171	249	508
16	191	171	171	257	340
17	7	268	268	468	53
18	193	269	269	194	53
19	195	481	481	343	608
20	195	332	332	195	345
21	196	482	483	95	429
22	27	483	123	197	495
23	198	483	125	367	431
24	200	47	47	386	431
25	200	485	47	609	432
26	201	305	250	610	434
27	202	532	532	608	206
28	203	566	566	611	206
29	526	233	233	611	207
30	349	233	233	612	208
31	459	571	571	118	211
32	460	572	572	119	212
33	559	572	572	158	213
34	148	269	269	220	213
35	148	574	533	222	214
36	149	359	345	367	216
37	150	415	96	223	219
38	193	361	275	243	218
39	193	362	362	225	219
40	195	59	456	95	240
41	300	458	458	197	240
42	364	75	75	468	240
43	135	76	76	110	197
44	28	95	95	557	407
45	28	450	450	560	143
46	231	220	138	560	231
47	30	236	580	445	232
48	75	80	429	135	390
49	564	80	577	158	391
50	519	584	100	158	406
51	385	45	45	388	406
52	386	556	556	128	407
53	13	580	161	129	409
54	387	97	392	100	242
55	511	437	437	163	201
56	524	234	234	467	201
57	526	412	412	405	202
58	526	414	414	468	203
59	46	415	416	408	71
60	528	441	441	409	205
61	254	575	254	410	207
62	10	153	153	256	208
63	449	227	227	257	208
64	258	257	257	257	131
65	258	257	257	258	210
66	260	258	258	259	91
67	261	260	260	260	134
68	262	261	309	261	261
69	263	262	262	263	425
70	264	263	264	264	423
71	266	265	481	265	281
72	267	312	312	267	267
73	268	312	312	268	282
74	511	270	270	269	77
75	511	562	562	270	484
76	189	30	30	167	272
77	582	78	78	71	273
78	191	72	72	349	476
79	429	226	226	488	606
80	193	75	75	489	66
81	428	493	481	490	67
82	429	493	493	492	246
83	430	346	346	69	69
84	432	507	505	494	69
85	433	64	71	495	182
86	434	71	71	71	182
87	435	71	71	71	500
88	436	350	350	342	501
89	438	416	416	341	500
90	439	416	416	343	503
91	299	417	418	344	503
92	300	70	70	69	504
93	592	70	70	494	62
94	302	496	304	494	63
95	303	497	497	71	507
96	480	497	497	72	508
97	471	350	350	342	602
98	49	350	350	342	7
99	436	350	350	440	510
100	83	350	350	440	511
101	486	353	353	282	608
102	281	353	353	283	527
103	133	354	355	407	527
104	465	73	355	467	250
105	466	74	74	467	251
106	466	398	398	468	455
107	467	167	167	440	53
108	468	334	169	69	53
109	206	335	169	327	472
110	443	77	77	546	474
111	478	506	506	476	604
112	332	476	66	477	604
113	332	65	341	287	455
114	333	341	509	479	598
115	61	75	75	480	600
116	482	345	345	62	602
117	483	345	406	483	602
118	484	305	346	484	603
119	486	487	487	485	604
120	488	488	488	488	605
121	489	488	488	489	67
122	490	489	490	490	67
123	491	490	490	343	491
124	344	492	492	343	492
125	345	344	344	344	491
126	345	345	345	345	492
127	346	346	346	346	285
128	347	346	346	346	494
129	71	71	71	71	495
130	348	348	348	348	294
131	349	348	348	349	331
132	350	350	350	67	74
133	350	350	350	490	332
134	351	351	351	69	61
135	352	352	352	69	333
136	353	347	353	367	61
137	355	355	355	71	61
138	30	355	355	610	507
139	356	17	18	611	485
140	271	20	20	296	65
141	272	361	361	386	67
142	273	362	34	387	277
143	34	363	363	195	278
144	518	333	333	196	189
145	79	366	334	95	285
146	207	527	159	390	99
147	236	160	160	230	610
148	237	483	483	231	220
149	365	201	585	584	468
150	366	201	586	367	405
151	367	202	588	367	405
152	367	203	203	367	405
153	368	429	429	145	225
154	368	251	362	389	408
155	370	75	75	147	226
156	370	250	447	590	227
157	373	374	447	213	373
158	373	373	374	230	374
159	374	78	78	577	158
160	588	79	79	577	158
161	375	79	79	222	159
162	55	79	73	136	160
163	608	456	456	558	161
164	566	203	456	92	162
165	411	313	313	94	568
166	412	85	412	196	383
167	413	125	448	140	385
168	607	556	556	490	385
169	10	557	557	342	387
170	416	558	558	343	176
171	480	220	88	99	118
172	393	594	594	386	619
173	394	570	570	367	379
174	285	529	529	388	365
175	287	538	538	115	366
176	470	564	354	108	301
177	236	531	531	611	271
178	428	456	532	196	456
179	221	532	161	611	405
180	372	162	162	138	448
181	187	534	534	524	448
182	189	332	332	94	287
183	401	527	481	95	66
184	402	43	333	577	179
185	460	575	482	578	179
186	191	576	483	609	405
187	515	577	250	610	71
188	415	251	251	198	406
189	408	251	251	136	406
190	408	408	408	137	408
191	197	409	409	391	409
192	586	558	558	49	409
193	193	309	309	342	410
194	349	287	309	392	584
195	163	560	203	67	279
196	478	180	180	542	160
197	50	181	181	69	161
198	51	218	218	388	69
199	0	0	0	0	0
200	0	0	0	0	0
201	0	0	0	0	0
202	0	0	0	0	0
203	0	0	0	0	0
