1	0	0	0
2	0	0	0
3	0	0	0
4	0	0	0
5	0	0	0
6	259	598	53
7	259	599	471
8	0	599	393
9	117	600	394
10	263	601	235
11	0	272	235
12	221	273	236
13	221	220	602
14	221	255	508
15	191	249	508
16	191	257	340
17	7	468	53
18	193	0	53
19	195	0	608
20	195	195	345
21	196	0	429
22	27	197	495
23	0	0	431
24	200	0	431
25	200	609	432
26	201	610	434
27	202	608	206
28	203	611	206
29	526	611	207
30	349	612	208
31	459	118	211
32	460	119	212
33	559	158	213
34	148	220	213
35	148	222	214
36	149	367	216
37	0	223	219
38	193	243	218
39	193	225	219
40	0	95	240
41	300	197	240
42	0	0	240
43	135	110	197
44	28	557	407
45	0	0	143
46	231	0	231
47	0	0	232
48	75	0	390
49	564	0	391
50	0	0	406
51	385	388	406
52	386	128	407
53	13	129	409
54	387	100	242
55	0	163	201
56	524	467	201
57	526	405	202
58	526	468	203
59	46	0	71
60	0	409	205
61	254	0	207
62	0	256	208
63	449	257	208
64	258	257	131
65	258	258	210
66	260	259	91
67	261	260	134
68	262	261	261
69	263	263	425
70	264	264	423
71	266	265	281
72	267	267	267
73	268	268	282
74	511	269	77
75	511	270	484
76	0	167	272
77	0	71	273
78	191	0	476
79	429	488	606
80	0	489	66
81	428	490	67
82	429	492	246
83	430	69	69
84	432	494	69
85	433	495	182
86	434	71	182
87	435	0	500
88	0	0	501
89	438	0	500
90	0	343	503
91	299	0	503
92	300	69	504
93	0	494	62
94	302	494	63
95	303	71	507
96	480	72	508
97	471	342	602
98	49	342	7
99	436	440	510
100	83	0	511
101	486	282	608
102	281	283	527
103	0	407	527
104	465	467	250
105	466	467	251
106	466	468	455
107	467	0	53
108	468	69	53
109	206	0	472
110	0	546	474
111	478	0	604
112	332	0	604
113	332	0	455
114	333	479	598
115	61	480	600
116	482	62	602
117	483	483	602
118	484	484	603
119	486	485	604
120	488	488	605
121	489	489	67
122	490	490	67
123	491	343	491
124	344	343	492
125	345	344	491
126	345	345	492
127	346	346	285
128	347	346	494
129	71	71	495
130	0	348	294
131	349	349	331
132	350	67	74
133	350	490	332
134	351	69	61
135	352	69	333
136	353	367	61
137	0	71	61
138	30	610	507
139	356	611	485
140	271	0	65
141	272	386	67
142	273	387	277
143	0	195	278
144	0	196	189
145	79	0	285
146	207	390	99
147	236	230	610
148	237	0	220
149	365	0	468
150	366	0	405
151	367	367	405
152	367	0	405
153	368	145	225
154	368	389	408
155	370	147	226
156	370	590	227
157	373	0	373
158	373	0	374
159	374	577	158
160	588	577	158
161	375	222	159
162	0	136	160
163	608	0	161
164	566	92	162
165	411	94	568
166	412	196	383
167	413	140	385
168	607	0	385
169	10	342	387
170	416	343	176
171	480	99	118
172	393	386	619
173	394	0	379
174	285	388	365
175	287	0	366
176	470	108	301
177	0	611	271
178	428	196	456
179	221	611	405
180	372	138	448
181	187	0	448
182	189	94	287
183	401	0	66
184	0	577	179
185	460	578	179
186	191	609	405
187	0	0	71
188	415	198	406
189	408	136	406
190	408	0	408
191	197	391	409
192	586	49	409
193	0	342	410
194	0	0	584
195	163	0	279
196	0	542	160
197	50	69	161
198	51	388	69
199	0	0	0
200	0	0	0
201	0	0	0
202	0	0	0
203	0	0	0
